,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,0,0,1,2,3,4,5,6,7,8,9
,,"йемен(монголия,мьянма,намибия,оман)","ангола(нигер,нигерия)","андорра(индия,индонезия,мадагаскар,нидерланды)","ямайка(македония,мексика,никарагуа,микронезия)",,непал,"малави(малайзия,мали,мальдивы,мальта,молдавия)",мозамбик,маврикий(мавритания),"марокко(маршаловы ост-ва,науру,норвегия,эмираты)"
,1,10,11,12,13,14,15,16,17,18,19
,,"гайана(гамбия,гана,гондурас,уганда)",,гаити,,,габон(египет),голландия,,"гватемала(гвинея,гвинея-бисау)","германия(гренада,греция,грузия)"
,2,20,21,22,23,24,25,26,27,28,29
,,"тонга(дания,доминика,доминиканская республика,танзания,тунис)",того(джибути),таджикистан,,,,таиланд(италия),,тувалу,"турция(туркмения,тринидад и тобаго)"
,3,30,31,32,33,34,35,36,37,38,39
,,"канада(камбоджа,камерун,кения,коморы,конго)",,"катар(китай,кот-д-ивуар)",,,"Кабо-верде(кипр,куба)",колумбия,казахстан(коста-рика),эквадор(кувейт),"киргизия(кирибати,корея,украина,хорватия)"
,4,40,41,42,43,44,45,46,47,48,49
,,,,чад,чехия,,,чили,,,черногория
,5,50,51,52,53,54,55,56,57,58,59
,,"япония(бангладеш,бенин,панама)",багамы,ботсвана(бутан),бахрейн(пакистан),,Папуа-новая гвинея,"белоруссия(белиз,бельгия,боливия,палау,польша)",босния,,"барбадос(бразилия,парагвай,португалия,перу,бруней,буркина-фасо,бурунди)"
,6,60,61,62,63,64,65,66,67,68,69
,,,алжир,латвия(литва),лихтенштейн(люксембург),,албания(либерия),,лаос(лесото),"швейцария(швеция,ливан,ливия)",Шри-ланка
,7,70,71,72,73,74,75,76,77,78,79
,,"сенегал(сомали,замбия,зимбабве,самоа,сан-марино,сан-томе,сент-винсент,сент-китс,сингапур)",,"эстония(саудовская аравия,судан)",,,испания(узбекистан),"сша(словакия,словения,исландия,зеландия,сальвадор,сейшельские ост-ва,соломоновы ост-ва)",,свазиленд,"сирия(азербайджан,израиль,сербия,суринам,сьерра-леоне)"
,8,80,81,82,83,84,85,86,87,88,89
,,"вануату(венесуэла,финляндия)",афганистан,"ватикан(вьетнам,фиджи)",,,эфиопия,великобритания(филлипины),австралия(австрия),,франция
,9,90,91,92,93,94,95,96,97,98,99
,,"румыния(армения,иран,руанда)",аргентина(уругвай),иордания(эритрея),ирак,,,ирландия,россия,,цар(центр.афр.респ)
