,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,0,0,1,2,3,4,5,6,7,8,9
,,мандарин(манго),,,"макароны,мука",,,,"масло,мясо",,"морковь(яйцо,морс)"
,1,10,11,12,13,14,15,16,17,18,19
,,гамбургер,,,,,,,,,"огурцы(гречка,гранат,гриб)"
,2,20,21,22,23,24,25,26,27,28,29
,,"дыня,томат",,,тыква,,,,,,
,3,30,31,32,33,34,35,36,37,38,39
,,конфеты,,,"какао,кокос,коктейль",,кабачок(капуста),"хлеб,калач",косточка,киви(кофе),картофель(хурма)
,4,40,41,42,43,44,45,46,47,48,49
,,яичница,,,,,чипсы,,чеснок,щавель,черемуха
,5,50,51,52,53,54,55,56,57,58,59
,,банан(помидоры),,петрушка,баклажан,печенье,бобы,апельсин,,пиво,"перец,пицца,борщ"
,6,60,61,62,63,64,65,66,67,68,69
,,лимон,,,"шоколад,лук","лечо,лещ","лепешка,лапша",,,оливки,
,7,70,71,72,73,74,75,76,77,78,79
,,сметана,,,сахар(сухарь),,,"салат(слива,соль)",сосиска,свекла(зефир),сыр
,8,80,81,82,83,84,85,86,87,88,89
,,виноград(вино),,,авокадо,,вобла,,овес,вафля,
,9,90,91,92,93,94,95,96,97,98,99
,,,рожь,редис,рак,,"арбуз,рыба",рулет,рис,,
