,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,0,0,1,2,3,4,5,6,7,8,9
,,монумент,магазин(ангар),метро,,,,,мост,мавзолей,
,1,10,11,12,13,14,15,16,17,18,19
,,,,,,,,,гостиница(госпиталь),,гора(гараж)
,2,20,21,22,23,24,25,26,27,28,29
,,"дом(туман,домна)",,,,дача,теплица,,,,дерево(дорога)
,3,30,31,32,33,34,35,36,37,38,39
,,кинотеатр,хижина,,,,"кабак,кабинет",,кустарник,,крепость
,4,40,41,42,43,44,45,46,47,48,49
,,чум,,,,,,,часовня,,
,5,50,51,52,53,54,55,56,57,58,59
,,баня,,потолок,,пещера,,"башня(облака,балкон)",бассейн,павильон,пруд
,6,60,61,62,63,64,65,66,67,68,69
,,,"луг,лагерь",,"шахта,шахта",,,,лес,,
,7,70,71,72,73,74,75,76,77,78,79
,,,изгородь,"здание(столб,сад,остров,станция)",,,забор,,сосна(оазис),завод,озеро
,8,80,81,82,83,84,85,86,87,88,89
,,фонтан,,,вокзал(вход),,фабрика,вулкан,,,ворота
,9,90,91,92,93,94,95,96,97,98,99
,,,,,река,ручей,,,,равнина,церковь(цирк)
