,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,0,0,1,2,3,4,5,6,7,8,9
,,мент(мангуст),мужик(магеллан),медведь,муха,Меч-рыба,наполеон,мышь,носорог(оса),неваляшка,"мартышка(муравей,морж,омар)"
,1,10,11,12,13,14,15,16,17,18,19
,,"гном(женщина,гений,Гамлет)",гагарин(жигало),гадюка(гитлер),жокей(Гук),жучок,гепард(жаба),гладиатор(голубь),гусь(гусеница),гайвер,жираф
,2,20,21,22,23,24,25,26,27,28,29
,,динозавр,джин,дедушка(дятел),утка,дочка,тупой(джим керри),дельфин,десантник,дева,"дракон(таракан,терминатор)"
,3,30,31,32,33,34,35,36,37,38,39
,,"комар(кенгуру,конь,князь)",кожевник,кот(кит),кикбоксер,качок(хищник),киборг(кабан),коала,коза,ковбой,"карлсон(курица,корова,король,крокодил,крот)"
,4,40,41,42,43,44,45,46,47,48,49
,,"щенок(чиновник,чемберлен)",чужой,чудовище,чайка(щука),"Чичерина,чучело(чеченец)",чебурашка(чапаев),человек,часовщик,чайф,"черепаха(ящерица,червь)"
,5,50,51,52,53,54,55,56,57,58,59
,,"панда,пума,мистер бин,","бегемот,бог,",путин,паук,пчела,попугай(бабочка),белка(блоха),"пастух(пес,песец,бисмарк)",павлин,пират(поросенок)
,6,60,61,62,63,64,65,66,67,68,69
,,шимпанзе(шмель),"лягушка,лыжник,",улитка,лайка,личинка,лебедь,"аллигатор,лошадь",лось(лисица),лев,"лоуренс(актер),шершень"
,7,70,71,72,73,74,75,76,77,78,79
,,сом(осьминог),,,скорпион,,соболь(собака),слон,сазан,сова(свинья),"саранча(сорока,заяц)"
,8,80,81,82,83,84,85,86,87,88,89
,,ван-дамм,вжик,выдра,фокусник,овчарка,,,взломщик,,"верблюд(ворон,овца,вратарь,фараон,врач,вор)"
,9,90,91,92,93,94,95,96,97,98,99
,,рембо,цыган,,рак,,робот,орел,рысь(русалка),,рыцарь
