,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,0,0,1,2,3,4,5,6,7,8,9
,,монокль,"нож(магнит,ножницы,наждачка)",метла,"микроскоп(миксер,мухобойка)",меч,напильник,молоток,"насос,носилки,мясорубка",невод,амортизатор(наручники)
,1,10,11,12,13,14,15,16,17,18,19
,,"огнетушитель,гантели",,гитара,,,губка,игла,жезл,гвоздодер,градусник(граната)
,2,20,21,22,23,24,25,26,27,28,29
,,,утюг(джойстик),,"открывашка(диктофон,тахометр)",удочка(точилка),"тяпка(топор,адаптер)","телефон,телевизор,телескоп",тиски(диск),отвертка,"трубка,труба,трос,терка,трезубец,термометр,тарелка"
,3,30,31,32,33,34,35,36,37,38,39
,,"кнопка,компьютер",,,,,"кипятильник,кабель","клюшка(холодильник,кулак)","коса(кисть,указка,кастрюля)","кувалда,ковш","кран,карандаш"
,4,40,41,42,43,44,45,46,47,48,49
,,,чугунок,щетка(щит),очки,,щуп,чашка,,,
,5,50,51,52,53,54,55,56,57,58,59
,,бинт(бомба),пуговица,"педаль,бита","пакет,бак",печать,пипетка,"паяльник,пила","пистолет,пассатижи",,"проволока,барометр"
,6,60,61,62,63,64,65,66,67,68,69
,,"линейка,лимонка,лампа,лампочка",ложка,,лейка(лук),,лупа(лопата),шило,"лазер,лесница,",швабра,
,7,70,71,72,73,74,75,76,77,78,79
,,замок(зонт),зажигалка,,сковорода,счеты,"спички,спицы",,сосуд(соска),"свисток(совок,звонок)",зеркало
,8,80,81,82,83,84,85,86,87,88,89
,,"фонарь(вентилятор,вантуз)","вагонетка,фуганок,фугас",ведро,выключатель,,виброфон,вилка(валик),весло(весы),вафельница,
,9,90,91,92,93,94,95,96,97,98,99
,,,"рогатка,ружье","радар, радиатор","ракетка,рюкзак",ручка,рубанок,"руль,рулетка",респиратор,револьвер,циркуль
